Activated as <IOR:010000001600000049444c3a53696d706c655f5365727665723a312e3000000001000000000000006c000000010102000b00000031302e302e312e3133350000393000001b00000014010f0052535469a8db6060040d000000000001000000010000000002000000000000000800000001000000004f4154010000001800000001b747620100010001000000010001050901010000000000>
-1216076733	-1216109660		0.081302 0.060599 0.029130 0.994419	-0.003274 1.251805 -0.178069
-1216062894	-1216095667		0.085187 0.063880 0.030136 0.993858	-0.003697 1.251338 -0.172126
-1216048956	-1216081744		0.089564 0.067211 0.029987 0.993258	-0.004381 1.250635 -0.166290
-1216035044	-1216064658		0.093050 0.070471 0.030983 0.992681	-0.004928 1.249800 -0.160357
-1216021103	-1216053811		0.095956 0.073510 0.031564 0.992166	-0.005444 1.248648 -0.154446
-1216007188	-1216036592		0.097398 0.076865 0.031304 0.991779	-0.005959 1.247466 -0.148471
-1215993264	-1216026479		0.098441 0.080046 0.030865 0.991438	-0.006482 1.246367 -0.142399
-1215979330	-1216010420		0.100104 0.082952 0.030489 0.991044	-0.007156 1.245201 -0.136382
-1215965425	-1215998670		0.102508 0.086256 0.030879 0.990504	-0.007919 1.244066 -0.130501
-1215951474	-1215980971		0.104779 0.089399 0.031986 0.989953	-0.008527 1.242811 -0.124609
-1215937547	-1215968873		0.107116 0.091981 0.032244 0.989457	-0.009346 1.241439 -0.118724
-1215923634	-1215944209		0.109003 0.094921 0.031751 0.988990	-0.010259 1.240166 -0.112773
-1215909731	-1215942768		0.110928 0.097778 0.031596 0.988502	-0.011258 1.239048 -0.106829
-1215895798	-1215927024		0.114211 0.100975 0.031490 0.987810	-0.012218 1.238113 -0.100796
-1215881876	-1215915085		0.117986 0.103402 0.031573 0.987112	-0.013302 1.236935 -0.094939
-1215867928	-1215900911		0.120697 0.106227 0.031313 0.986493	-0.014399 1.235653 -0.089015
-1215854020	-1215885107		0.123450 0.109483 0.030698 0.985815	-0.015564 1.234352 -0.082961
-1215840092	-1215842165		0.126911 0.112933 0.030439 0.984994	-0.016868 1.233185 -0.076921
-1215826184	-1215834729		0.130301 0.117186 0.030920 0.984039	-0.018137 1.232010 -0.070965
-1215812261	-1215800613		0.133517 0.122081 0.030200 0.983035	-0.019484 1.230685 -0.065004
-1215798337	-1215800589		0.136024 0.128341 0.029208 0.981923	-0.020899 1.229208 -0.058991
-1215784414	-1215800576		0.138499 0.135309 0.027574 0.980688	-0.022373 1.227844 -0.052957
-1215770488	-1215796369		0.141563 0.143049 0.026337 0.979185	-0.024007 1.226533 -0.047047
-1215756563	-1215788719		0.144815 0.151986 0.025880 0.977374	-0.025475 1.225276 -0.041223
-1215742646	-1215775471		0.149227 0.161729 0.024729 0.975174	-0.027053 1.224098 -0.035288
-1215728706	-1215760008		0.153516 0.171292 0.024826 0.972870	-0.028761 1.222835 -0.029617
-1215714775	-1215747948		0.155485 0.181211 0.026073 0.970725	-0.030153 1.221417 -0.023852
-1215700850	-1215732681		0.159178 0.192364 0.023921 0.968032	-0.032036 1.220020 -0.018311
-1215686934	-1215719472		0.161014 0.204010 0.023899 0.965341	-0.033696 1.218604 -0.013021
-1215673013	-1215699308		0.162345 0.216049 0.023482 0.962505	-0.035457 1.217060 -0.007710
-1215659107	-1215692274		0.163904 0.227413 0.023196 0.959625	-0.037023 1.215568 -0.002497
-1215645174	-1215676042		0.166271 0.237915 0.022494 0.956684	-0.038607 1.214082 0.002457
-1215631263	-1215664432		0.168166 0.247411 0.022205 0.953947	-0.040208 1.212376 0.007111
-1215617289	-1215645158		0.168565 0.255961 0.022327 0.951615	-0.041712 1.210504 0.011693
-1215603416	-1215633454		0.168890 0.263776 0.022026 0.949428	-0.043172 1.208427 0.016197
-1215589478	-1215620428		0.168104 0.270825 0.021986 0.947582	-0.044696 1.206229 0.020629
-1215575552	-1215605102		0.167113 0.278088 0.021579 0.945661	-0.046290 1.204200 0.025044
-1215561630	-1215594729		0.166705 0.285039 0.022470 0.943641	-0.047738 1.202254 0.029284
-1215547704	-1215580864		0.166624 0.291525 0.023700 0.941641	-0.049169 1.200214 0.033362
-1215533786	-1215566607		0.166910 0.298562 0.024392 0.939365	-0.050722 1.197939 0.037340
-1215519848	-1215552656		0.166018 0.306577 0.024480 0.936936	-0.052164 1.195763 0.041408
-1215505944	-1215538700		0.166185 0.314002 0.023208 0.934477	-0.053681 1.193913 0.045445
-1215492023	-1215525194		0.165992 0.320485 0.024994 0.932262	-0.055047 1.192129 0.049352
-1215478081	-1215510465		0.165951 0.325967 0.027237 0.930303	-0.056078 1.190257 0.053156
-1215464144	-1215488824		0.165968 0.330461 0.029015 0.928660	-0.057267 1.188296 0.056623
-1215450225	-1215479822		0.164717 0.334800 0.031959 0.927230	-0.058386 1.186374 0.060076
-1215436322	-1215469515		0.162203 0.338827 0.035329 0.926088	-0.059131 1.184691 0.063643
-1215422382	-1215452996		0.160355 0.342506 0.036876 0.924995	-0.059795 1.183325 0.067009
-1215408463	-1215440784		0.159427 0.346216 0.039189 0.923678	-0.060396 1.181837 0.070129
-1215394550	-1215425771		0.159429 0.349085 0.041248 0.922508	-0.060944 1.180219 0.073069
-1215380634	-1215412203		0.159742 0.351248 0.042858 0.921559	-0.061370 1.178616 0.075638
-1215366662	-1215396809		0.160108 0.352674 0.044905 0.920853	-0.061533 1.177078 0.077943
-1215352774	-1215385972		0.159952 0.352816 0.046863 0.920728	-0.061626 1.175640 0.080029
-1215338853	-1215370378		0.159046 0.353586 0.048833 0.920487	-0.061522 1.174161 0.082013
-1215324928	-1215356940		0.157642 0.354069 0.051071 0.920421	-0.061415 1.172629 0.083967
-1215311013	-1215338698		0.156418 0.354530 0.053581 0.920310	-0.061021 1.171065 0.085597
-1215297080	-1215322766		0.153894 0.353969 0.055895 0.920814	-0.060368 1.169715 0.086934
-1215283164	-1215312940		0.151342 0.352340 0.058486 0.921700	-0.059427 1.168701 0.088055
-1215269223	-1215299757		0.150412 0.349038 0.059833 0.923022	-0.058450 1.167656 0.088966
-1215255269	-1215288393		0.149859 0.344656 0.060885 0.924688	-0.057571 1.166551 0.089785
-1215241384	-1215273869		0.149386 0.340462 0.061024 0.926307	-0.056786 1.165610 0.090433
-1215227472	-1215260202		0.148466 0.336523 0.061034 0.927893	-0.056134 1.164848 0.090927
-1215213488	-1215244545		0.147234 0.333361 0.061167 0.929221	-0.055383 1.164399 0.091274
-1215199634	-1215232703		0.146349 0.329271 0.062856 0.930705	-0.054745 1.163954 0.091599
-1215185692	-1215216875		0.146704 0.327069 0.063302 0.931395	-0.053936 1.163495 0.091933
-1215171778	-1215204396		0.147837 0.324181 0.064262 0.932159	-0.053574 1.163044 0.092311
-1215157847	-1215188938		0.150365 0.322485 0.066293 0.932201	-0.053125 1.162720 0.092345
-1215143922	-1215176364		0.151111 0.321333 0.066872 0.932437	-0.052793 1.162529 0.092522
-1215129947	-1215162637		0.151637 0.321160 0.066493 0.932438	-0.052665 1.162846 0.092956
-1215116079	-1215144205		0.153849 0.321384 0.066985 0.931963	-0.052855 1.162926 0.093514
-1215102156	-1215133633		0.156714 0.322786 0.068097 0.930920	-0.053205 1.163137 0.094299
-1215088229	-1215121421		0.160343 0.325238 0.069450 0.929348	-0.053283 1.163547 0.095196
-1215074324	-1215104941		0.164031 0.326070 0.070477 0.928335	-0.053328 1.164107 0.096074
-1215060395	-1215093095		0.170318 0.325750 0.070069 0.927345	-0.053487 1.165061 0.096934
-1215046468	-1215077194		0.176746 0.325243 0.070579 0.926281	-0.053942 1.165700 0.097875
-1215032535	-1215065772		0.182834 0.325800 0.069751 0.924965	-0.054316 1.166243 0.099005
-1215018602	-1215049579		0.189898 0.326897 0.068113 0.923276	-0.054969 1.166783 0.100124
-1215004617	-1215037763		0.197387 0.328406 0.066620 0.921276	-0.055599 1.167398 0.101207
-1214990768	-1215022987		0.204607 0.329623 0.065549 0.919341	-0.056073 1.168213 0.102423
-1214976794	-1215007627		0.211650 0.329385 0.064905 0.917877	-0.056438 1.169152 0.103808
-1214962931	-1214394436		0.218200 0.328226 0.064792 0.916765	-0.056677 1.170049 0.105344
-1214948996	-1214394402		0.224945 0.326182 0.064615 0.915877	-0.056899 1.170858 0.106909
-1214935082	-1214394389		0.232158 0.324145 0.063580 0.914872	-0.056992 1.171630 0.108466
-1214921095	-1214394378		0.239758 0.321450 0.062282 0.913951	-0.057017 1.172216 0.109981
-1214907226	-1214394367		0.246509 0.318437 0.061418 0.913268	-0.056942 1.172765 0.111537
-1214893317	-1214394357		0.253500 0.315377 0.060977 0.912445	-0.056883 1.173382 0.113226
-1214879394	-1214394346		0.261904 0.311892 0.060986 0.911269	-0.056676 1.174227 0.115032
-1214865461	-1214394336		0.273227 0.308165 0.061390 0.909182	-0.056567 1.175135 0.116737
-1214851530	-1214394326		0.283366 0.304104 0.062183 0.907391	-0.056445 1.175878 0.118608
-1214837547	-1214394315		0.291758 0.301056 0.063058 0.905685	-0.056233 1.176381 0.120378
-1214823664	-1214394301		0.298660 0.297883 0.063443 0.904457	-0.055837 1.176993 0.122170
-1214809761	-1214394290		0.306106 0.294273 0.063160 0.903168	-0.055282 1.177559 0.123950
-1214795863	-1214394273		0.313646 0.289846 0.062923 0.902029	-0.054681 1.178243 0.125943
-1214781931	-1214394258		0.321079 0.285663 0.063304 0.900720	-0.054102 1.178894 0.127834
-1214768006	-1214394247		0.327943 0.281753 0.064015 0.899428	-0.053374 1.179461 0.129659
-1214754010	-1214160236		0.334715 0.278121 0.063928 0.898069	-0.052597 1.179956 0.131495
-1214740167	-1214160200		0.340732 0.274695 0.064081 0.896849	-0.051800 1.180359 0.133366
-1214726235	-1214160187		0.346203 0.271555 0.064203 0.895700	-0.050900 1.180652 0.135199
-1214712320	-1214160175		0.351618 0.268690 0.063790 0.894484	-0.049929 1.180955 0.137037
-1214698394	-1214160165		0.356620 0.265395 0.063399 0.893515	-0.048869 1.181314 0.139018
-1214684469	-1214160154		0.362997 0.262150 0.062626 0.891958	-0.047953 1.181681 0.140914
-1214670460	-1214160144		0.369247 0.259282 0.062178 0.890260	-0.047026 1.182049 0.142927
-1214656536	-1214160133		0.375911 0.256485 0.062173 0.888280	-0.046097 1.182460 0.145121
-1214642692	-1214160123		0.383367 0.253574 0.062360 0.885913	-0.045023 1.182853 0.147282
-1214628780	-1214160112		0.390638 0.249980 0.062921 0.883715	-0.043913 1.183211 0.149438
-1214614850	-1214160098		0.397726 0.246245 0.063342 0.881570	-0.042732 1.183479 0.151527
-1214600929	-1214160087		0.404369 0.242965 0.062411 0.879522	-0.041613 1.183791 0.153636
-1214586941	-1214160076		0.410125 0.240154 0.061601 0.877684	-0.040375 1.184154 0.155834
-1214573060	-1214160066		0.416296 0.236774 0.060859 0.875747	-0.038872 1.184426 0.158149
-1214559153	-1214160055		0.423028 0.232898 0.059539 0.873648	-0.037381 1.184672 0.160458
-1214545240	-1214160045		0.428542 0.229223 0.058621 0.871993	-0.035804 1.184781 0.162672
